ID;CHURN;AUTRE_ABONNEMENT;ANCIENNETE;CATEGORIE_OFFRE_M1;STATUT_RC_M1;STATUT_TRAFIC_M1;STATUT_FACT_M1;STATUT_TRAFIC_M2;STATUT_RC_M2;STATUT_FACT_M2;VOL_DATA_M1;MONTANT_OM_HT_M1;MONTANT_FACT_HT_M1;VOL_DATA_M2;MONTANT_OM_HT_M2;MONTANT_FACT_HT_M2;VOL_TOT_DATA_KO_M1;VOL_TOT_VOIX_M1;CONSO_M1;VOL_TOT_DATA_KO_M2;VOL_TOT_VOIX_M2;CONSO_M2
52716515;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;5689.07652272;0;0;62457.6282710181;14049.5867768595;0;140050235.24707;169.083333333333;42201.37;82813427.9072266;217.483333333333;29700
65044471;0;0;4- 12Mois;B2C;0;0;0;1;0;0;0;0;0;61.7307697;0;0;18851.0576171875;126.533333333333;1750;100034.971679688;146.583333333333;3049.51
49774001;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;190745.736472199;0;0;46598.5233;20661.1570247934;0;1800082.41210938;224.133333333333;5287.3;0;61.65;880
32989647;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;4804.188937;0;0;3489.443357;4132.23140495868;0;10567969.2734375;337.233333333333;5500;12005058.9853516;620.633333333333;13350
72091270;0;0;1- 03Mois;B2B;0;1;1;1;0;1;49034.1351469;0;24793;54368.964223606;0;24793;1799088.26074219;1058.63333333333;5000;691015.896484375;1353.1;5000
55631460;0;0;6- 24Mois;B2C;0;1;0;0;0;0;37.6990879;0;0;0;0;0;16193490.4443359;537.616666666667;10900;11049539.2539063;746.433333333333;11361
74996815;0;0;1- 03Mois;;0;;;;0;;0;0;0;0;0;0;2060110.1953125;21.3833333333333;385.2;4052641.15625;106.5;5101.03
69096095;0;0;2- 06Mois;B2B;1;1;0;1;1;0;150336.27323;0;0;184178.018658795;0;0;32290474.6542969;358.266666666667;16243.6;45683311.5371094;439.4;26732
34375794;0;0;7- 25Mois+;B2C;0;1;0;1;0;0;182.60818198;0;0;12046.35182957;0;0;0;0;0;0;0;0
68663868;0;0;3- 09Mois;B2B;0;1;0;1;0;0;66.3516428;0;0;148.8464362;0;0;0;0;0;0;0;0
48899864;1;0;7- 25Mois+;B2C;0;1;0;0;0;0;0.0076179504;0;0;0;0;0;48112925.9619141;1361.03333333333;44998;33396070.3183594;1091.88333333333;88856
56865996;0;0;6- 24Mois;B2C;0;1;0;1;0;0;83.9789505;0;0;137.4708517;0;0;116759.657226563;0;0;0;0;1502
69663309;0;0;2- 06Mois;B2B;0;0;1;0;0;1;0;0;8264;0;0;8264;3801219.16113281;0;3150;1080653.67578125;16.0833333333333;1619
51008291;0;1;7- 25Mois+;B2B;0;1;1;1;0;1;207938.8090678;0;21186;212376.111792156;0;21186;13639798.6767578;1603.06666666667;21044;15407595.2060547;1646.75;12265
33000814;0;0;7- 25Mois+;B2C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33716367;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;25713.5138435481;0;0;49349.6523437469;14049.5867768595;0;0;0;0;0;0;0
54578322;1;1;6- 24Mois;B2C;0;1;0;0;0;0;2.94845387;0;0;0;0;0;48707146.5019531;1115;32024.84;39213739.8203125;950.85;26999
74222031;0;0;1- 03Mois;B2B;0;1;1;;0;;6.493545521;0;21365;0;0;0;41015510.3759766;834.5;14003;37542247.0830078;1078.15;20500
