"ID","CHURN","AUTRE_ABONNEMENT","ANCIENNETE","CATEGORIE_OFFRE_M1","STATUT_RC_M1","STATUT_TRAFIC_M1","STATUT_FACT_M1","STATUT_TRAFIC_M2","STATUT_RC_M2","STATUT_FACT_M2","VOL_DATA_M1","MONTANT_FACT_HT_M1","VOL_DATA_M2","MONTANT_OM_HT_M2","MONTANT_FACT_HT_M2","VOL_TOT_DATA_KO_M1","VOL_TOT_VOIX_M1","CONSO_M1","VOL_TOT_DATA_KO_M2","VOL_TOT_VOIX_M2","CONSO_M2"
"72247929","1","0","1- 03Mois","B2C","0","1","0","1","0","1","31313.6299","0","69342.663614532","0","14050","6006615.0185547","118.58333333333","3381.25","6041205.9091797","63.383333333333","5757"
"35111226","0","0","7- 25Mois+","B2C","0","0","0","1","0","0","0","0","0.009246826","0","0","0","0","0","0","0","0"
"69605497","0","1","2- 06Mois","B2B","0","0","0","0","0","0","0","0","0","0","0","16959298.87207","1710.5","38626","21395794.744141","1028.05","432861.88"
"71461579","0","0","2- 06Mois","B2C","0","0","0","1","0","0","0","0","1.0671864","0","0","156124.67480469","1.3","600","0","24.6","400"
"29927133","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","852716.5916155","40316","504404.0891799","0","40316","0","0","0","0","0","0"
"66477771","0","1","3- 09Mois","B2B","0","1","0","1","1","0","5072.0743102906","0","54371.066833729","0","0","21972173.881836","651.56666666667","19105","37033457.024414","702.81666666667","28134"
"71225117","1","0","2- 06Mois","B2C","0","1","0","1","0","0","1.94817926","0","4.96824549","0","0","18385420.839844","100.46666666667","9750","18722641.510742","27.633333333333","9785.94"
"64713935","0","0","4- 12Mois","B2C","0","1","0","1","1","0","58622.767567701","0","28479.573513189","8264.4628099174","0","49590168.513672","453.68333333333","82401.6","82332368.208008","473.65","14344.8"
"64142733","1","0","4- 12Mois","B2C","0","1","0","0","0","0","0.6261367632","0","0","0","0","3110318.3212891","426.68333333333","8546","11898439.089844","446.66666666667","14166"
"46613421","0","1","7- 25Mois+","B2C","0","0","0","0","0","0","0","0","0","0","0","53282343.976562","113.05","8614","32202606.012695","158.68333333333","8187"
"65515457","0","0","4- 12Mois","B2B","1","1","0","1","0","0","11346.600264894","0","12994.869018555","0","0","1148459.0537109","426.61666666667","14450","772294.29199219","536.61666666667","8555.47"
"72836051","0","0","1- 03Mois","B2B","0","1","1","1","0","1","186.26381803","16864","49.85290199","0","26656","479373.890625","108.98333333333","12534.75","2784196.9160156","188.65","10044.87"
"64200676","0","0","4- 12Mois","B2C","0","1","0","1","1","0","38488.628689153","0","27372.751139","4132.2314049587","0","4971168.1386719","516.78333333333","12200","2385079.5800781","515.73333333333","12149.75"
"56347961","0","0","6- 24Mois","B2C","0","0","0","1","0","0","0","0","1.7512836","0","0","0","0","0","0","0","0"
"72785216","0","1","1- 03Mois","B2C","1","1","0","1","1","0","79865.15972133","0","163754.485634","0","0","561223.30566406","626.53333333333","6071.5","1894507.1708984","719.63333333333","7256.75"
"42828305","0","0","7- 25Mois+","B2C","0","1","0","0","0","0","15613.42218385","0","0","0","0","5930786.8789062","251.28333333333","5950","5784042.7148438","305.46666666667","5400"
"69560574","0","0","2- 06Mois","B2B","0","0","1","1","0","1","0","8264","0","0","8264","19993504.700195","76.7","6600","11778443.213867","165.88333333333","7850"
"59132053","0","0","5- 18Mois","B2C","0","1","0","1","0","0","20763.522475","0","38141.973365813","0","0","186390.84863281","103.16666666667","2068","81904.73046875","176.68333333333","2689.9"
"32487314","0","1","7- 25Mois+","B2C","0","1","0","1","0","0","3693.5435318266","0","79.2642709","0","0","7031123.4853516","983.48333333333","17089.5","2841833.0097656","541.66666666667","28560.75"
"60624195","0","0","5- 18Mois","B2B","0","1","0","0","0","0","56087.7048","0","0","0","0","25883443.103516","598.05","13400","77177310.632812","929.91666666667","28050"
"62136549","0","0","5- 18Mois","B2B","0","1","0","1","1","0","395659.51725","0","461848.2789","4132.2314049587","0","0","0","0","0","0","0"
"58284384","0","0","5- 18Mois","B2C","1","1","0","1","0","0","10964.9544926","0","135803.27129","0","0","0","2.2833333333333","246","0","0.81666666666667","288"
"63741748","1","0","4- 12Mois","B2C","0","1","0","0","0","0","0.035455704","0","0","0","0","29231463.375977","520.08333333333","21088.37","18801658.322266","403.96666666667","12050"
"43877047","0","0","7- 25Mois+","B2C","0","0","0","0","0","0","0","0","0","0","0","17038106.104492","597.65","11100","10365275.72168","804.11666666667","15951.37"
"72245912","0","0","1- 03Mois","B2C","0","1","0","1","0","0","44958.45008266","0","40521.679254019","0","0","13451985.773438","1319.6166666667","15992","15373577.178711","1116.35","13310"
"48765280","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","23437.1148648","0","260987.68055702","0","0","5047288.1347656","1162.3166666667","12622","7930987.9775391","1134.2166666667","9650"
"53136109","0","1","7- 25Mois+","B2C","0","0","0","0","0","0","0","0","0","0","0","14619342.49707","1968.2166666667","16963.4","13221061.894531","2527.4333333333","24680.14"
"64199220","0","1","4- 12Mois","B2C","0","1","0","1","1","0","6414.665680028","0","4830.645937823","0","0","9390647.359375","480.78333333333","71526","8237744.5546875","475.51666666667","43500"
"29930481","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","26617.09108773","0","31699.157767529","8264.4628099174","0","21958807.793945","1140.9333333333","15674","7830336.8740234","128.2","2100"
"37454614","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","254328.453217","0","188085.703","33057.851239669","0","342089.66503906","217.06666666667","1900","62210.326171875","230.96666666667","1899.75"
"51981128","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","271384.1159","0","181613.2602","24793.388429752","0","1628881.6669922","108.4","10020","2592565.0585938","163.08333333333","22999"
"49767688","0","0","7- 25Mois+","B2B","0","1","0","1","0","0","92.51643228885","0","13.290453746","0","0","0","0","0","0","0","0"
"48929047","0","1","7- 25Mois+","B2C","0","1","0","1","0","0","7.198122072","0","4.757192617","0","0","17802014.246094","1649.6666666667","10000","21352622.916016","344.7","20206"
"67230747","0","1","3- 09Mois","B2C","0","0","0","0","0","0","0","0","0","0","0","5127160.4169922","725.76666666667","20052","12050143.282227","612.53333333333","37500"
"45518957","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","1035.662687525","0","45991.272144141","0","0","0","0","0","0","0","0"
"42601109","0","0","7- 25Mois+","B2B","0","0","1","0","0","1","0","23860","0","0","23860","12551484.149414","721.28333333333","17760.42","13315696.711914","713.4","18373.43"
"52274389","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","116679.8800013","14407","61307.83065","0","14407","12551484.149414","721.28333333333","17760.42","13315696.711914","713.4","18373.43"
"52884539","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","5299.9711182812","14407","2459.3643725933","0","14407","12551484.149414","721.28333333333","17760.42","13315696.711914","713.4","18373.43"
"52274127","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","34643.63461101","14407","3099.439283138","0","14407","12551484.149414","721.28333333333","17760.42","13315696.711914","713.4","18373.43"
